,trajectory,DG,next step rate,step name
0,..........+..........,0.0,6.248805e+06,off_nucleation-2
1,..(.......+.)........,-0.2196709566059385,4.312811e+06,off_nucleation-46
2,..........+..........,0.0,6.248805e+06,off_nucleation-1
3,.(........+..).......,-0.4860420673588002,2.000000e+07,zipping-34
4,((........+..))......,-2.564378356251272,2.000000e+07,zipping-25
5,(((.......+.)))......,-4.153964040597557,2.000000e+07,zipping-28
6,((((......+))))......,-5.420931636921916,2.156674e+09,sliding-32
7,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
8,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
9,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
10,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
11,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
12,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
13,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
14,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
15,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
16,(((((((((.+.))))))))),-13.465263411869525,1.366897e+06,zipping-105
17,((((((((..+..)))))))),-11.875677727523241,2.000000e+07,zipping-103
18,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
19,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
20,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
21,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
22,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
23,((((((((((+)))))))))),-14.732231008193885,5.990214e+05,zipping-21
24,.(((((((((+))))))))).,-12.653894719301412,2.000000e+07,zipping-140
25,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
26,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
27,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
28,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
29,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
30,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
31,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
32,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
33,((((((((((+)))))))))),-14.732231008193885,5.990214e+05,zipping-21
34,.(((((((((+))))))))).,-12.653894719301412,2.000000e+07,zipping-140
35,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
36,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
37,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
38,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
39,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
40,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
41,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
42,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
43,((((((((((+)))))))))),-14.732231008193885,5.990214e+05,zipping-21
44,.(((((((((+))))))))).,-12.653894719301412,2.000000e+07,zipping-140
45,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
46,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
47,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
48,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
49,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
50,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
51,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
52,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
53,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
54,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
55,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
56,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
57,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
58,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
59,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
60,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
61,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
62,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
63,((((((((((+)))))))))),,,
