,trajectory,next step rate,step name
0,..........+..........,6.784416e+07,f_nucleation7
1,((((......+......)))),2.000000e+09,f_zipping_12
2,(((((.....+.....))))),2.000000e+09,f_zipping_19
3,((((((....+....)))))),2.000000e+09,f_zipping_20
4,(((((((...+...))))))),2.000000e+09,f_zipping_21
5,((((((((..+..)))))))),2.000000e+09,f_zipping_23
6,.((((((...+...)))))).,2.556144e+06,b_zipping_23
7,((((((((..+..)))))))),2.000000e+09,f_zipping_23
8,.((((((...+...)))))).,2.556144e+06,b_zipping_23
9,((((((((..+..)))))))),2.000000e+09,f_zipping_22
10,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
11,((((((((((+)))))))))),1.234364e+08,b_zipping-end_26
12,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
13,((((((((((+)))))))))),2.119375e+08,b_zipping-end_30
14,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
15,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
16,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
17,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
18,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
19,((((((((((+)))))))))),2.119375e+08,b_zipping-end_30
20,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
21,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
22,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
23,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
24,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
25,((((((((((+)))))))))),2.119375e+08,b_zipping-end_30
26,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
27,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
28,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
29,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
30,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
31,((((((((((+)))))))))),2.119375e+08,b_zipping-end_30
32,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
33,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
34,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
35,((((((((((+)))))))))),1.234364e+08,b_zipping-end_26
36,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
37,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
38,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
39,((((((((((+)))))))))),1.234364e+08,b_zipping-end_26
40,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
41,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
42,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
43,((((((((((+)))))))))),2.119375e+08,b_zipping-end_30
44,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
45,((((((((((+)))))))))),2.119375e+08,b_zipping-end_30
46,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
47,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
48,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
49,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
50,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
51,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
52,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
53,((((((((((+)))))))))),2.119375e+08,b_zipping-end_30
54,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
55,((((((((((+)))))))))),2.119375e+08,b_zipping-end_30
56,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
57,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
58,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
59,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
60,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
61,((((((((((+)))))))))),1.234364e+08,b_zipping-end_26
62,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
63,((((((((((+)))))))))),1.234364e+08,b_zipping-end_26
64,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
65,((((((((((+)))))))))),2.119375e+08,b_zipping-end_30
66,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
67,((((((((((+)))))))))),1.234364e+08,b_zipping-end_26
68,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
69,((((((((((+)))))))))),2.119375e+08,b_zipping-end_30
70,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
71,((((((((((+)))))))))),1.234364e+08,b_zipping-end_26
72,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
73,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
74,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
75,((((((((((+)))))))))),2.119375e+08,b_zipping-end_30
76,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
77,((((((((((+)))))))))),1.234364e+08,b_zipping-end_26
78,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
79,((((((((((+)))))))))),1.234364e+08,b_zipping-end_26
80,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
81,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
82,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
83,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
